survey,id,construct,orig_rank,rewr_rank,rewr_top_construct,rewr_discrimination,pair_cosine,still_leaks,rewritten
PVQ,1,Self-Direction,2,1,Self-Direction,0.2191,0.6203,True,"When they take on a task, they would rather work out their own way of doing it than follow how it was done before. They often sketch out possibilities that nobody around them has suggested."
PVQ,2,Power,1,2,Benevolence,0.0317,0.7462,False,"It matters to them that their bank balance keeps growing year after year. They want the kind of house, car, and watch that most people could never afford."
PVQ,3,Universalism,1,1,Universalism,0.1487,0.3972,True,"It bothers them when a child born in one neighborhood gets chances that a child born a few streets away will never see. They think the same doors should open for everyone, everywhere."
PVQ,4,Achievement,1,1,Achievement,0.1604,0.5997,True,"When they finish a difficult piece of work, they make sure the people who matter get to see it. Hearing others talk about what they have pulled off makes their day."
PVQ,5,Security,1,1,Security,0.1849,0.6424,True,They double-check the locks before bed and prefer streets where nothing much ever happens. They stay away from shortcuts through areas they don't know.
PVQ,6,Stimulation,1,2,Tradition,0.0818,0.3433,False,"Their weekends rarely look the same twice — one month a pottery class, the next a road trip. If a menu lists a dish they can't pronounce, that's the one they order."
PVQ,7,Conformity,1,2,Self-Direction,0.0552,0.2758,False,"They stop at the red light at an empty intersection at 3 a.m. and wait for it to change. When a supervisor gives an instruction, they carry it out without arguing."
PVQ,8,Universalism,4,2,Conformity,0.0847,0.5985,False,"At a gathering, they sit down next to the person whose views clash with their own and ask questions instead of walking away. They want to hear the full story before making up their mind about anyone."
PVQ,9,Tradition,3,8,Benevolence,-0.0772,0.6713,False,"Once their needs are met, they stop chasing a bigger house or a better job title. In their eyes, someone who keeps wanting more has missed the point."
PVQ,10,Hedonism,1,2,Benevolence,0.0912,0.4323,False,"If there is a party on Friday and a long lunch on Sunday, they will be at both. Given a free afternoon, they spend it on whatever feels best in the moment."
PVQ,11,Self-Direction,1,4,Conformity,0.0387,0.5495,False,They would turn down a well-paid job if someone else got to set their schedule. Nobody fills in their calendar but them.
