survey,model,f1_orig,f1_cueless,f1_vp_reference
PVQ,Qwen2.5-72B-Instruct,0.7923,0.7257,0.0818
PVQ,Qwen2.5-7B-Instruct,0.7869,0.6613,0.0818
PVQ,Qwen3-235B-A22B-Instruct-2507-FP8,0.6756,0.5881,0.0818
PVQ,Qwen3-30B-A3B-Instruct-2507,0.6772,0.5805,0.0818
PVQ,gemma-3-27b-it,0.6457,0.5482,0.0818
PVQ,gemma-3-4b-it,0.4852,0.3554,0.0818
PVQ,gpt-oss-120b,0.7907,0.7647,0.0818
PVQ,gpt-oss-20b,0.7612,0.7785,0.0818
BFI44,Qwen2.5-72B-Instruct,0.7712,0.6457,0.0818
BFI44,Qwen2.5-7B-Instruct,0.7031,0.4989,0.0818
BFI44,Qwen3-235B-A22B-Instruct-2507-FP8,0.9565,0.8846,0.0818
BFI44,Qwen3-30B-A3B-Instruct-2507,0.9504,0.7107,0.0818
BFI44,gemma-3-27b-it,0.8083,0.5861,0.0818
BFI44,gemma-3-4b-it,0.674,0.5046,0.0818
BFI44,gpt-oss-120b,0.9777,0.8516,0.0818
BFI44,gpt-oss-20b,0.9538,0.7489,0.0818
